,polarity,subjectivity,filtered_polarity,filtered_subjectivity,Open,High,Low,Close,Volume,Market Cap
2019-08-18,0.059693877551020416,0.19693877551020408,0,0,10233.0062966,10487.070244,10119.0946079,10345.8103795,12999813869.0485,185022920955.42102
2019-08-19,0.04380952380952381,0.2948809523809524,0,1,10350.283631,10916.053870200001,10313.2044338,10916.053870200001,16038264603.2616,195243306008.31
2019-08-20,0.035930944055944054,0.34470612720612714,0,1,10916.346717100001,10947.0417192,10618.960678200001,10763.2326304,15053082175.362,192530283565.25302
2019-08-21,0.033890885899814475,0.14315669449598017,0,0,10764.5727493,10798.7297949,9962.7216442,10138.049355,19473084767.8293,181364502141.631
2019-08-22,-0.015633608815426997,0.20590564738292008,0,1,10142.521429999999,10232.9960286,9831.46262049,10131.0561021,17097508856.2413,181257125782.96698
2019-08-23,-0.040633608815427,0.14839302112029384,0,0,10136.3095336,10442.4435166,10078.1927261,10407.965329,15627023886.2172,186231409722.18
2019-08-24,0.028906249999999994,0.2490451388888889,0,1,10407.6442328,10418.0204345,9982.29685483,10159.960538500001,15451030650.3596,181813631752.038
2019-08-25,0.053758741258741256,0.23496503496503493,0,1,10160.7370213,10304.6222586,10008.7887534,10138.517665000001,14153856609.6535,181450186164.483
2019-08-26,0.022743055555555558,0.13541666666666666,0,0,10126.299518700001,10512.327753399999,10126.299518700001,10370.820160500001,18438654079.5348,185625235888.757
2019-08-27,-0.06511976911976912,0.31128860028860034,0,1,10372.8263035,10381.3283434,10087.3005576,10185.4998997,14762609502.7663,182325540954.58
2019-08-28,0.05174571805006587,0.31856060606060604,0,1,10203.4268025,10279.3659944,9716.65581044,9754.42327325,17603790323.1144,174627460399.528
2019-08-29,0.01756198347107438,0.26232782369146,0,1,9756.78570735,9756.78570735,9421.63015965,9510.20054413,17045878500.7915,170274910132.34802
2019-08-30,-0.02297979797979798,0.12335858585858585,0,0,9514.84485249,9656.12392624,9428.30239699,9598.17364826,13595263986.4386,171869216523.885
2019-08-31,-0.007119883040935672,0.177733918128655,0,0,9597.539447600002,9673.22043974,9531.79983914,9630.66384768,11454806419.0115,172470743516.177
2019-09-01,0.0968686868686869,0.19363636363636366,0,0,4031.55201569,4068.40358144,4022.66280883,4035.29636921,5115905224.62691,70508733459.2063
2019-09-02,0.060606060606060594,0.16424242424242425,0,0,3671.58595682,3679.94151048,3646.55933455,3671.20370545,6158833644.65178,64354732475.0563
2019-09-03,-0.02476190476190476,0.589047619047619,0,1,3894.55252613,3987.23778458,3892.39046739,3963.31374243,10796103518.2198,69674508654.6229
2019-09-04,0.07904112554112554,0.18983549783549783,0,0,5289.91798137,5289.91798137,5167.41905834,5204.95837847,14722104361.4039,91799330425.2375
2019-09-05,-0.0788690476190476,0.33363095238095236,0,1,5982.31627033,6183.03929388,5982.31627033,6174.52868876,16784645410.7955,109238600750.14801
2019-09-06,0.04285714285714288,0.3095238095238095,0,1,7949.67470562,7975.97432619,7583.21971271,7688.07711075,16610726547.0477,136465098533.16199
2019-09-07,0.05573979591836734,0.29699546485260775,0,1,12284.3264649,12779.1320971,12233.2620314,12573.8129407,28167921522.6206,223928128582.65198
2019-09-08,0.018302341597796142,0.14473140495867767,0,0,11953.4695395,11970.4577149,11709.745378799998,11862.936759999999,18339989959.5105,211961319132.719
2019-09-09,0.07507460973370064,0.32735307621671256,0,1,10443.228500700001,10450.311531799998,10144.929455,10334.9741628,17595943367.9607,185263578990.272
2019-09-10,0.020265151515151514,0.14914772727272727,0,0,8229.84046087,8627.70620766,8169.29898629,8595.73981722,19384942333.2248,154579656110.395
2019-09-11,0.05621933621933621,0.2831385281385281,0,1,8809.46919831,8891.81831071,8793.16349154,8813.58248677,17578630605.9219,158981489715.40698
2019-09-12,0.039114583333333335,0.3904861111111111,0,1,7561.79517117,7618.09166983,7365.98519914,7400.89935576,17872021272.3945,133904005787.106
2019-09-13,0.040636363636363644,0.23345454545454547,0,1,10415.362533299998,10441.489016399999,10226.5969003,10360.547277299998,14109864674.7053,185809163035.281
2019-09-14,0.059280303030303017,0.22921865715983364,0,1,10345.4037591,10422.1334739,10291.6944928,10358.0491621,13468713124.1199,185784300332.487
2019-09-15,-0.020370370370370372,0.25416666666666665,0,1,10356.4657676,10387.0348987,10313.092448000001,10347.7129074,12043433567.3488,185618174383.964
